node,category,P,R,Acc,F1
1,Bot,0.7355623100303952,0.6126582278481013,0.6919127086007703,0.6685082872928176
2,DDoS,0.9346026490066225,0.845270776141752,0.8286,0.8876949285807889
3,DoS GoldenEye,0.9039162112932605,0.9783144406111385,0.9165848871442591,0.9396449704142011
4,DoS Hulk,0.9403543798352882,0.9479245283018868,0.9108,0.9441242796291657
5,DoS Slowhttptest,0.7846153846153846,0.8095238095238095,0.7839687194525904,0.796875
6,DoS slowloris,0.8019559902200489,0.9380362249761678,0.8517091959557054,0.8646748681898067
7,FTP-Patator,0.7813998082454459,0.6746688741721855,0.7159194876486734,0.7241226121723678
8,PortScan + Infiltration,0.9438257856966098,0.9542156617463098,0.918,0.9489922866384672
9,SSH-Patator + Heartbleed,0.774281805745554,0.8998410174880763,0.8235294117647058,0.8323529411764706
10,WebAttack BF + SQL + XSS,0.8231578947368421,0.8786516853932584,0.838973162193699,0.85
,Average,0.8423672219425452,0.8539105246202686,0.8279997572760402,0.8456990174094086
