node,category,P,R,Acc,F1
1,Bot,0.35135135135135137,0.13648293963254593,0.4544287548138639,0.19659735349716445
2,DDoS,0.9380488962734393,0.992964824120603,0.9422,0.9647259855974613
3,DoS GoldenEye,0.8702250130821559,0.820424272323631,0.7998037291462218,0.8445911630269172
4,DoS Hulk,0.9055007052186178,0.6399202591577373,0.6574,0.7498904949627683
5,DoS Slowhttptest,0.45322245322245325,0.2147783251231527,0.48191593352883677,0.2914438502673797
6,DoS slowloris,0.7002118644067796,0.6126042632066728,0.6624939817043813,0.6534849233811172
7,FTP-Patator,0.6022727272727273,0.31520815632965166,0.5192131747483989,0.41383156720580033
8,PortScan + Infiltration,0.05574912891986063,0.004031242126480222,0.1552,0.007518796992481203
9,SSH-Patator + Heartbleed,0.24186046511627907,0.07749627421758569,0.39473684210526316,0.11738148984198646
10,WebAttack BF + SQL + XSS,0.774390243902439,0.9225181598062954,0.8331388564760793,0.8419889502762431
,Average,0.5892832848766103,0.4736428716044355,0.5900531272523045,0.5081454575049319
