node,category,P,R,Acc,F1
1,Bot,0.6864406779661016,0.6151898734177215,0.6623876765083441,0.6488651535380507
2,DDoS,0.8998938804386275,0.6348889443473921,0.6508,0.7445127304653204
3,DoS GoldenEye,0.8795235913879982,0.9462789551503203,0.8783120706575074,0.9116809116809117
4,DoS Hulk,0.9200102880658436,0.899874213836478,0.8582,0.909830853363856
5,DoS Slowhttptest,0.7504332755632582,0.8085901027077498,0.7590420332355816,0.7784269662921348
6,DoS slowloris,0.7737627651217597,0.9389895138226882,0.830524795377949,0.8484065460809647
7,FTP-Patator,0.740236148955495,0.6746688741721855,0.6893870082342177,0.7059333044608055
8,PortScan + Infiltration,0.9320728291316527,0.9989992494370779,0.941,0.9643762830576017
9,SSH-Patator + Heartbleed,0.751660026560425,0.8998410174880763,0.8065015479876161,0.8191027496382055
10,WebAttack BF + SQL + XSS,0.7705223880597015,0.9280898876404494,0.8191365227537923,0.8419979612640163
,Average,0.8104555871250865,0.8345410632020138,0.7895291654755009,0.8173133459841868
