node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,client1: Bot + DDoS + DoS GoldenEye...,0.9755907700861829,0.8773,0.88428,0.9238383572462814,0.9755907700861829,0.8773,0.88428,0.9238383572462814,0.0,25000.0
2,client2: Bot + DDoS + DoS GoldenEye...,0.9543156712226175,0.8064448077633036,0.8162847961270397,0.8741710496226847,0.9543156712226175,0.8064448077633036,0.8162847961270397,0.8741710496226847,0.0,23961.0
3,client3: Bot + DDoS + DoS GoldenEye...,0.9468270295932901,0.89745,0.87764,0.9214775265035808,0.9468270295932901,0.89745,0.87764,0.9214775265035808,0.0,25000.0
4,client4: Bot + DDoS + DoS GoldenEye...,0.9475788538427365,0.95985,0.9254,0.9536749546685214,0.9475788538427365,0.95985,0.9254,0.9536749546685214,0.0,25000.0
5,client5: Bot + DDoS + DoS GoldenEye...,0.9791323448654585,0.98065,0.9678,0.9798905847967825,0.9791323448654585,0.98065,0.9678,0.9798905847967825,0.0,25000.0
6,client6: Bot + DDoS + DoS GoldenEye...,0.9562744586485782,0.91635,0.89956,0.9358866334737649,0.9562744586485782,0.91635,0.89956,0.9358866334737649,0.0,25000.0
7,client7: DDoS + DoS GoldenEye + DoS Hulk...,0.9422331351770483,0.8720248774070087,0.8603259368382286,0.9057705447543326,0.9422331351770483,0.8720248774070087,0.8603259368382286,0.9057705447543326,0.0,21722.0
8,client8: Bot + DDoS + DoS GoldenEye...,0.981320120735805,0.86155,0.87612,0.9175430655768257,0.981320120735805,0.86155,0.87612,0.9175430655768257,0.0,25000.0
9,client9: Bot + DDoS + DoS GoldenEye...,0.9457722017730312,0.91215,0.88788,0.9286568759703734,0.9457722017730312,0.91215,0.88788,0.9286568759703734,0.0,25000.0
10,client10: Bot + DDoS + DoS GoldenEye...,0.9441051172817327,0.9197,0.8922,0.9317427753716789,0.9441051172817327,0.9197,0.8922,0.9317427753716789,0.0,25000.0
,Average,0.9573149703226482,0.9003469685170312,0.8887490732965269,0.9272652367984827,0.9573149703226482,0.9003469685170312,0.8887490732965269,0.9272652367984827,0.0,24568.3
