node,category,P,R,Acc,F1
1,client1: Bot + DDoS + DoS GoldenEye...,0.9471401463811331,0.8754698070658983,0.8616,0.9098958333333333
2,client2: Bot + DDoS + DoS GoldenEye...,0.9485834207764953,0.9037740564858785,0.8838,0.9256367592474082
3,client3: Bot + DDoS + DoS GoldenEye...,0.9511933494234379,0.8905347727843335,0.8764,0.9198651452282157
4,client4: Bot + DDoS + DoS GoldenEye...,0.9446693657219973,0.8763144717075614,0.8602,0.9092089881802832
5,client5: Bot + DDoS + DoS GoldenEye...,0.9549071618037135,0.8986520219670494,0.8848,0.9259259259259259
6,client6: Bot + DDoS + DoS GoldenEye...,0.9490840517241379,0.8836217707549536,0.8694,0.9151837901026108
7,client7: Bot + DDoS + DoS GoldenEye...,0.9457682826622843,0.8581013916500994,0.8462,0.8998045602605863
8,client8: Bot + DDoS + DoS GoldenEye...,0.9346618752041816,0.8693406259495594,0.8527693386305212,0.9008186397984886
9,client9: Bot + DDoS + DoS GoldenEye...,0.9476329013488495,0.9011569416498993,0.8818,0.9238107515792188
10,client10: Bot + DDoS + DoS GoldenEye...,0.928115552569701,0.887568262126566,0.8639324487334138,0.9073891625615763
,Average,0.945175610761593,0.8844534122141801,0.8680901787363935,0.9137539556217646
