exp,arm,tag,seeds,final_val_mean,mean_last50,std_last50,sus70_n_attained,sus70_mean,sus70_std,sus70_mb,sus75_n_attained,sus75_mean,sus75_std,sus75_mb,sus80_n_attained,sus80_mean,sus80_std,sus80_mb,sus85_n_attained,sus85_mean,sus85_std,sus85_mb,sus86_n_attained,sus86_mean,sus86_std,sus86_mb
E1,final_r0_mu10_k16,pseudo,5,0.8677,0.8683,0.0009,5,3.2,2.9,0.9,5,4.8,3.4,1.36,5,11.2,2.6,3.16,5,31.8,25.6,8.98,4,27,6.5,7.62
E1,lower_bound_v1,pseudo,5,0.659,0.6683,0.0088,2,31.5,24.5,8.89,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,
E1,upper_bound_supervised,true,5,0.7556,0.7407,0.0083,5,82.4,36.2,23.26,4,156.2,57.3,44.11,0,,0.0,,0,,0.0,,0,,0.0,
E1,upper_bound_supervised_curated,true,5,0.7412,0.73,0.0151,5,115.8,42.6,32.69,2,136,15.0,38.4,0,,0.0,,0,,0.0,,0,,0.0,
E1,v2.1,pseudo,5,0.5916,0.6376,0.0411,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,
E1_2018,final,pseudo,3,0.8454,0.8136,0.027,3,10,8.3,2.82,3,13.3,5.6,3.76,3,20,1.4,5.65,2,155,34.0,43.76,2,155,34.0,43.76
E3,A10_train_on_all,pseudo,5,0.6631,0.6234,0.0176,1,179,0.0,50.54,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,
E3,A3_naive_selftraining,pseudo,5,0.6248,0.6322,0.011,1,1,0.0,0.28,1,1,0.0,0.28,0,,0.0,,0,,0.0,,0,,0.0,
E3,A3_no_refinement_no_curation,pseudo,5,0.6495,0.6449,0.0171,1,1,0.0,0.28,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,
E3,A4_global_threshold,pseudo,5,0.7944,0.7883,0.0078,5,1,0.0,0.28,5,1,0.0,0.28,2,88.5,87.5,24.99,0,,0.0,,0,,0.0,
E3,A5_bce,pseudo,5,0.6485,0.6806,0.0271,2,70,69.0,19.76,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,
E3,A5_logit_adjusted,pseudo,5,0.6833,0.7032,0.0186,4,35.8,60.2,10.09,1,164,0.0,46.3,0,,0.0,,0,,0.0,,0,,0.0,
E3,A7_fedavg_mu0,pseudo,5,0.6042,0.5898,0.0192,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,
E3,A7_fedprox_mu01,pseudo,5,0.663,0.6631,0.0031,4,1,0.0,0.28,1,1,0.0,0.28,0,,0.0,,0,,0.0,,0,,0.0,
E3,A7_lr1e3_v1legacy,pseudo,5,0.7768,0.7682,0.0183,5,61.8,75.0,17.45,4,138.5,27.3,39.1,3,165.7,7.8,46.77,0,,0.0,,0,,0.0,
E3,A7_no_ema,pseudo,5,0.6221,0.626,0.0275,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,
E3,A7_selection_last,pseudo,5,0.5916,0.6376,0.0411,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,
E3,A8_R0,pseudo,5,0.8543,0.8534,0.0021,5,1,0.0,0.28,5,1,0.0,0.28,5,7.4,3.6,2.09,4,32.5,5.9,9.18,2,64,35.0,18.07
E3,A8_R1,pseudo,5,0.5862,0.6294,0.0437,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,,0,,0.0,
